Date,ClosingPrice,MarketPrice,High,Low
2001/01/02,65.41,63.33,65.47,62.97
2001/01/03,65.38,64.28,65.79,63.99
2001/01/04,70.14,69.19,71.37,69.19
2001/01/05,73.15,70.32,73.23,69.74
2001/01/08,73.83,72.12,74.01,71.98
2001/01/09,74.20,73.41,74.20,71.96
2001/01/10,70.49,73.77,74.66,70.49
2001/01/11,70.38,71.50,71.76,70.09
2001/01/12,74.04,72.70,75.69,72.70
2001/01/15,75.58,74.97,76.75,74.24
2001/01/16,76.16,75.79,76.83,74.19
2001/01/17,75.25,75.78,77.07,74.08
2001/01/18,76.39,75.45,77.53,75.35
2001/01/19,78.60,78.86,78.93,77.70
2001/01/22,79.47,78.96,79.47,77.74
2001/01/26,74.64,78.87,78.93,74.64
2001/01/29,75.16,74.76,75.43,74.05
2001/01/30,74.44,75.76,76.68,74.44
2001/01/31,77.98,74.90,77.98,74.77
2001/02/01,77.27,76.45,78.39,76.32
2001/02/02,76.70,77.55,77.83,75.87
2001/02/05,72.87,74.90,74.98,72.40
2001/02/06,73.81,72.61,73.91,72.10
2001/02/07,72.44,73.58,73.58,72.15
2001/02/08,74.50,72.55,74.50,72.55
2001/02/09,74.91,74.06,75.39,73.09
2001/02/12,75.40,73.94,75.88,73.37
2001/02/13,75.28,75.89,76.17,74.71
2001/02/14,75.90,74.77,76.40,74.38
2001/02/15,75.88,76.92,77.04,75.77
2001/02/16,76.08,76.20,76.93,75.98
2001/02/19,74.91,74.82,75.06,73.86
2001/02/20,76.36,74.73,76.39,74.35
2001/02/21,74.38,75.88,75.88,74.36
2001/02/22,72.93,73.68,73.68,71.41
2001/02/23,72.90,72.45,73.84,72.34
2001/02/26,73.09,73.02,73.53,72.44
2001/02/27,72.06,73.68,74.64,71.93
2001/02/28,72.14,71.24,72.60,71.20
2001/03/02,69.84,71.68,71.68,69.56
2001/03/05,70.76,68.58,70.76,68.58
2001/03/06,71.13,71.29,72.01,70.49
2001/03/07,71.12,71.94,72.27,70.78
2001/03/08,72.47,71.20,72.47,70.98
2001/03/09,70.55,71.46,71.65,70.14
2001/03/12,67.89,69.04,69.39,67.87
2001/03/13,65.82,65.75,66.45,65.08
2001/03/14,67.69,67.55,67.98,67.20
2001/03/15,67.57,65.20,67.64,65.10
2001/03/16,67.10,67.45,67.74,66.85
2001/03/19,66.51,66.17,67.43,65.76
2001/03/20,66.12,67.50,67.55,66.10
2001/03/21,66.26,64.70,66.26,64.66
2001/03/22,65.47,66.04,66.20,65.09
2001/03/23,67.01,66.12,67.15,66.04
2001/03/26,68.04,67.87,68.64,67.48
2001/03/27,66.25,68.07,68.07,66.25
2001/03/28,65.77,67.38,67.41,65.77
2001/03/29,65.18,65.05,66.24,64.77
2001/03/30,65.16,65.32,65.84,64.38
2001/04/02,64.12,64.78,65.01,63.74
2001/04/03,62.62,62.90,63.23,62.01
2001/04/04,61.42,61.75,62.37,61.40
2001/04/06,63.02,64.64,64.66,62.80
2001/04/09,61.81,62.60,63.02,61.81
2001/04/10,60.96,62.26,62.34,60.96
2001/04/11,63.19,62.80,63.35,62.32
2001/04/12,64.05,64.46,64.85,63.77
2001/04/13,64.25,64.64,64.65,63.75
2001/04/16,63.15,64.01,64.51,63.15
2001/04/17,63.92,62.95,64.20,62.79
2001/04/18,67.39,65.16,67.39,64.75
2001/04/19,70.55,71.03,72.97,69.94
2001/04/20,69.62,71.11,71.74,69.60
2001/04/23,70.26,69.99,71.00,69.62
2001/04/24,69.57,69.11,69.71,68.42
2001/04/25,71.01,69.17,71.01,68.94
2001/04/26,70.37,71.43,71.61,70.23
2001/04/27,69.67,70.30,70.67,69.27
2001/04/30,72.45,70.85,72.47,70.74
2001/05/02,73.29,73.63,73.74,72.83
2001/05/03,73.37,73.21,73.42,72.31
2001/05/04,73.51,72.19,73.51,72.19
2001/05/07,74.86,73.89,75.22,73.32
2001/05/08,74.09,74.59,75.02,74.06
2001/05/09,72.53,73.82,73.90,72.43
2001/05/10,72.77,72.54,73.22,72.02
2001/05/11,72.95,72.81,73.12,72.27
2001/05/14,72.99,73.19,73.61,72.56
2001/05/15,72.61,72.93,73.18,72.30
2001/05/16,71.46,72.22,73.20,71.44
2001/05/17,74.72,73.55,74.72,73.23
2001/05/18,75.25,74.48,75.25,74.05
2001/05/21,77.51,76.03,77.76,75.97
2001/05/22,77.37,78.80,78.99,77.37
2001/05/23,77.83,77.60,78.35,77.12
2001/05/24,77.66,76.69,77.96,76.48
2001/05/25,77.81,78.20,79.02,77.68
2001/05/28,77.05,77.25,77.58,76.98
2001/05/29,78.85,76.80,78.86,76.62
2001/05/30,78.33,78.47,78.54,77.33
2001/05/31,76.09,76.26,76.84,75.66
2001/06/01,75.34,76.49,76.68,74.94
2001/06/04,75.74,75.59,76.13,75.17
2001/06/05,74.13,75.91,76.23,74.13
2001/06/07,74.57,73.64,74.62,73.64
2001/06/08,77.19,75.55,77.22,75.52
2001/06/11,75.27,75.95,76.33,75.17
2001/06/12,75.08,74.89,75.78,74.69
2001/06/13,75.90,75.70,75.90,75.08
2001/06/14,75.69,75.71,77.09,75.36
2001/06/15,76.35,75.16,76.35,74.43
2001/06/18,74.85,76.15,76.41,74.72
2001/06/19,74.91,74.49,75.82,74.48
2001/06/20,73.19,74.18,74.30,72.98
2001/06/21,73.20,73.42,73.71,72.43
2001/06/22,73.59,73.45,74.10,72.86
2001/06/25,73.29,73.36,73.98,72.88
2001/06/26,72.29,73.23,73.39,71.96
2001/06/27,71.85,72.13,72.58,71.35
2001/06/28,71.63,72.00,72.65,71.59
2001/06/29,73.20,73.07,73.20,72.42
2001/07/02,73.40,72.87,73.61,72.84
2001/07/03,73.10,73.64,73.64,73.00
2001/07/04,73.55,72.67,73.55,72.09
2001/07/05,73.08,73.79,73.97,72.96
2001/07/06,71.18,71.56,72.03,71.12
2001/07/09,69.06,69.50,69.93,68.54
2001/07/10,68.82,69.45,69.75,68.68
2001/07/11,68.24,67.44,68.89,67.28
2001/07/12,68.88,69.26,69.80,68.88
2001/07/13,67.49,70.35,70.35,67.27
2001/07/16,67.53,67.87,68.26,67.00
2001/07/18,66.49,67.80,67.94,66.29
2001/07/19,67.34,65.72,67.34,65.72
2001/07/20,66.31,66.59,66.83,65.82
2001/07/23,64.85,65.97,66.43,64.59
2001/07/24,65.23,64.27,65.37,63.63
2001/07/25,65.18,64.35,65.40,63.91
2001/07/26,65.46,65.57,65.84,65.22
2001/07/27,66.96,66.45,67.18,66.17
2001/07/30,65.98,67.09,67.09,65.90
2001/07/31,66.98,66.17,66.98,65.85
2001/08/01,69.72,67.59,69.86,66.97
2001/08/02,70.34,70.08,70.92,69.00
2001/08/03,70.46,70.92,70.92,69.81
